iter	Passed	Remaining
0	152	152374
1	155	77347
2	157	52351
3	159	39666
4	160	31980
5	162	26866
6	163	23220
7	164	20459
8	166	18307
9	167	16620
10	169	15229
11	171	14083
12	172	13097
13	174	12268
14	175	11537
15	176	10882
16	178	10297
17	179	9781
18	180	9315
19	181	8893
20	182	8516
21	183	8165
22	184	7850
23	186	7565
24	187	7298
25	188	7051
26	189	6820
27	190	6607
28	191	6408
29	192	6220
30	193	6051
31	194	5894
32	195	5743
33	197	5600
34	198	5464
35	199	5337
36	200	5218
37	201	5105
38	202	4999
39	204	4896
40	205	4799
41	206	4708
42	207	4620
43	208	4536
44	210	4457
45	211	4379
46	212	4304
47	213	4232
48	214	4161
49	215	4094
50	216	4031
51	217	3970
52	218	3908
53	219	3851
54	221	3797
55	222	3745
56	223	3694
57	224	3645
58	225	3598
59	226	3555
60	228	3514
61	229	3472
62	230	3431
63	231	3390
64	232	3350
65	234	3314
66	235	3279
67	236	3242
68	237	3206
69	238	3172
70	239	3138
71	240	3105
72	242	3074
73	243	3044
74	244	3015
75	245	2985
76	246	2956
77	247	2929
78	249	2904
79	250	2879
80	251	2853
81	252	2829
82	253	2804
83	254	2780
84	256	2757
85	257	2735
86	258	2713
87	259	2692
88	260	2670
89	261	2648
90	263	2627
91	264	2608
92	265	2589
93	266	2569
94	267	2551
95	269	2534
96	270	2515
97	271	2500
98	272	2483
99	274	2468
100	275	2451
101	276	2434
102	277	2417
103	278	2402
104	279	2386
105	281	2370
106	282	2355
107	283	2341
108	284	2327
109	285	2313
110	287	2300
111	288	2287
112	289	2275
113	291	2261
114	292	2248
115	293	2235
116	294	2222
117	295	2210
118	296	2197
119	298	2186
120	299	2175
121	300	2163
122	302	2153
123	303	2143
124	304	2132
125	305	2122
126	307	2110
127	308	2100
128	309	2090
129	310	2079
130	311	2069
131	313	2059
132	314	2050
133	315	2041
134	317	2031
135	318	2021
136	319	2013
137	321	2006
138	322	2000
139	324	1994
140	326	1986
141	327	1978
142	328	1969
143	329	1961
144	331	1951
145	332	1943
146	333	1934
147	334	1926
148	335	1918
149	337	1909
150	338	1901
151	339	1893
152	340	1885
153	341	1877
154	343	1870
155	344	1863
156	345	1856
157	346	1848
158	348	1842
159	349	1834
160	350	1828
161	352	1821
162	353	1814
163	354	1807
164	355	1800
165	357	1794
166	358	1788
167	359	1782
168	361	1776
169	362	1770
170	364	1765
171	365	1759
172	367	1754
173	368	1749
174	369	1743
175	371	1737
176	372	1731
177	373	1726
178	375	1720
179	376	1714
180	377	1708
181	378	1702
182	379	1696
183	381	1690
184	382	1684
185	383	1679
186	384	1673
187	386	1667
188	387	1662
189	388	1656
190	389	1651
191	391	1645
192	392	1640
193	393	1635
194	394	1630
195	396	1625
196	397	1621
197	399	1617
198	401	1614
199	402	1609
200	403	1605
201	405	1600
202	406	1595
203	407	1591
204	409	1586
205	410	1581
206	411	1575
207	412	1569
208	413	1563
209	414	1557
210	415	1553
211	416	1548
212	417	1544
213	419	1539
214	420	1535
215	421	1531
216	423	1527
217	424	1523
218	426	1519
219	427	1515
220	428	1512
221	430	1507
222	431	1502
223	432	1498
224	434	1494
225	435	1491
226	436	1486
227	437	1482
228	439	1478
229	440	1475
230	442	1471
231	443	1467
232	444	1462
233	445	1458
234	446	1454
235	448	1451
236	449	1447
237	451	1444
238	452	1441
239	453	1436
240	454	1432
241	456	1429
242	457	1426
243	459	1422
244	460	1419
245	462	1416
246	463	1413
247	465	1410
248	466	1407
249	467	1403
250	469	1400
251	470	1396
252	471	1392
253	472	1387
254	474	1385
255	475	1381
256	476	1378
257	478	1374
258	479	1372
259	480	1368
260	481	1364
261	483	1361
262	484	1358
263	486	1355
264	487	1351
265	488	1347
266	490	1345
267	491	1342
268	492	1338
269	493	1335
270	495	1332
271	496	1329
272	497	1325
273	499	1322
274	500	1319
275	501	1316
276	503	1313
277	504	1310
278	505	1307
279	507	1304
280	508	1300
281	509	1296
282	510	1294
283	512	1291
284	513	1288
285	514	1285
286	516	1282
287	517	1279
288	518	1275
289	519	1272
290	521	1270
291	523	1268
292	524	1265
293	525	1262
294	526	1259
295	527	1255
296	529	1252
297	530	1249
298	531	1246
299	533	1244
300	534	1241
301	535	1238
302	537	1235
303	539	1234
304	540	1232
305	541	1229
306	543	1225
307	544	1223
308	545	1219
309	546	1217
310	548	1214
311	549	1211
312	551	1209
313	552	1206
314	553	1204
315	555	1201
316	556	1198
317	557	1196
318	558	1192
319	559	1189
320	561	1187
321	562	1185
322	564	1182
323	565	1179
324	566	1177
325	568	1174
326	569	1172
327	570	1169
328	572	1166
329	573	1163
330	574	1161
331	575	1158
332	577	1156
333	578	1154
334	580	1151
335	581	1148
336	582	1146
337	584	1144
338	586	1143
339	587	1141
340	589	1138
341	590	1136
342	592	1134
343	593	1131
